epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2948.9,0.70018,0.53919,1.0609,0.9652,0.94078,0.92876,0.79028,0.67303,0.51732,1.10203,0.008614,0.008614,0.008614
44,3017.1,0.69255,0.54357,1.0581,0.9568,0.94155,0.92635,0.78737,0.67172,0.53321,1.10217,0.008581,0.008581,0.008581
45,3084.96,0.69568,0.54426,1.06191,0.96801,0.9375,0.92294,0.78934,0.6712,0.52856,1.09816,0.008548,0.008548,0.008548
46,3152.72,0.69223,0.53566,1.06028,0.96769,0.93339,0.91959,0.78472,0.67264,0.53367,1.10377,0.008515,0.008515,0.008515
47,3220.89,0.69574,0.53293,1.06121,0.94662,0.94558,0.91954,0.78461,0.66716,0.5287,1.09856,0.008482,0.008482,0.008482
48,3289.37,0.69028,0.52859,1.05756,0.96374,0.94273,0.92688,0.79121,0.67277,0.5304,1.10297,0.008449,0.008449,0.008449
49,3358.01,0.6929,0.52533,1.05881,0.96112,0.93806,0.93349,0.79396,0.67362,0.53542,1.10167,0.008416,0.008416,0.008416
50,3426.52,0.68832,0.52642,1.05959,0.97135,0.94209,0.93218,0.79266,0.67096,0.5313,1.10087,0.008383,0.008383,0.008383
51,3495.3,0.69233,0.51844,1.06041,0.96081,0.94252,0.92619,0.7919,0.66698,0.54034,1.09598,0.00835,0.00835,0.00835
52,3563.99,0.68846,0.52168,1.0601,0.95921,0.94187,0.92599,0.7898,0.66638,0.52846,1.0974,0.008317,0.008317,0.008317
53,3632.56,0.68514,0.51193,1.05437,0.95399,0.93746,0.92191,0.78675,0.6681,0.52716,1.09836,0.008284,0.008284,0.008284
54,3700.69,0.68526,0.50914,1.05371,0.97616,0.9389,0.92312,0.79205,0.67016,0.53224,1.10162,0.008251,0.008251,0.008251
55,3768.92,0.68232,0.4977,1.05505,0.94717,0.93355,0.9165,0.79032,0.66587,0.54269,1.09515,0.008218,0.008218,0.008218
