epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,12275.8,0.57509,0.33792,1.01208,0.97304,0.94184,0.9332,0.80247,0.6611,0.52859,1.10256,0.004093,0.004093,0.004093
181,12343.9,0.57289,0.33179,1.01207,0.97299,0.94187,0.93333,0.80274,0.66108,0.52896,1.10272,0.00406,0.00406,0.00406
182,12411.8,0.57017,0.33452,1.00931,0.973,0.94183,0.93339,0.80306,0.66112,0.52882,1.1029,0.004027,0.004027,0.004027
183,12480,0.57225,0.33047,1.01028,0.97311,0.94189,0.93337,0.80282,0.66118,0.52874,1.10301,0.003994,0.003994,0.003994
184,12548.2,0.56629,0.32766,1.00878,0.97311,0.94189,0.93341,0.8029,0.66122,0.52895,1.10315,0.003961,0.003961,0.003961
185,12616.3,0.57063,0.33339,1.01039,0.97311,0.94185,0.93344,0.80329,0.66146,0.52851,1.10341,0.003928,0.003928,0.003928
186,12684.8,0.56608,0.32982,1.01128,0.9731,0.94185,0.93363,0.8034,0.66166,0.52847,1.10354,0.003895,0.003895,0.003895
187,12753.4,0.57023,0.32743,1.0084,0.97305,0.94189,0.93365,0.80364,0.66178,0.5284,1.10388,0.003862,0.003862,0.003862
188,12821.9,0.56266,0.32465,1.00702,0.97297,0.94192,0.93361,0.80315,0.6618,0.52848,1.1041,0.003829,0.003829,0.003829
189,12890.2,0.56523,0.33267,1.0095,0.97291,0.94192,0.93355,0.80269,0.6619,0.52849,1.10433,0.003796,0.003796,0.003796
190,12958.4,0.56029,0.32134,1.00531,0.97285,0.94195,0.93359,0.8034,0.66219,0.52877,1.10463,0.003763,0.003763,0.003763
191,13026.7,0.56639,0.32665,1.00643,0.97261,0.94198,0.93365,0.80329,0.66219,0.52909,1.1048,0.00373,0.00373,0.00373
192,13094.9,0.55632,0.31891,1.00615,0.9726,0.94199,0.93366,0.80313,0.6624,0.52924,1.10498,0.003697,0.003697,0.003697
193,13162.8,0.5602,0.32439,1.00542,0.97272,0.94185,0.93367,0.80309,0.66245,0.52912,1.10517,0.003664,0.003664,0.003664
194,13231,0.56133,0.32349,1.00738,0.97267,0.94192,0.93386,0.80303,0.6626,0.529,1.1053,0.003631,0.003631,0.003631
195,13299.2,0.5596,0.32106,1.00723,0.97276,0.94186,0.93392,0.80335,0.66268,0.529,1.10551,0.003598,0.003598,0.003598
196,13367.2,0.55944,0.32655,1.00595,0.97294,0.94187,0.93477,0.80416,0.66273,0.52917,1.10572,0.003565,0.003565,0.003565
197,13435.2,0.55489,0.31871,1.00248,0.973,0.94185,0.93484,0.80358,0.66289,0.52894,1.10588,0.003532,0.003532,0.003532
198,13503.1,0.55915,0.32264,1.00457,0.97307,0.94194,0.93423,0.80339,0.66298,0.52888,1.10609,0.003499,0.003499,0.003499
199,13571,0.55079,0.31565,1.00261,0.97309,0.94194,0.93507,0.80396,0.66313,0.52887,1.10634,0.003466,0.003466,0.003466
200,13638.8,0.55381,0.31412,1.00454,0.97313,0.94195,0.93516,0.8039,0.66317,0.52919,1.10638,0.003433,0.003433,0.003433
201,13706.7,0.55479,0.31462,1.00063,0.97317,0.94196,0.93517,0.80447,0.66326,0.52931,1.10655,0.0034,0.0034,0.0034
202,13774.9,0.5514,0.31573,1.00151,0.97318,0.94196,0.93518,0.80395,0.66326,0.52962,1.10667,0.003367,0.003367,0.003367
203,13843.1,0.55342,0.317,1.00396,0.97318,0.94196,0.93518,0.80415,0.66348,0.52979,1.10693,0.003334,0.003334,0.003334
204,13911.2,0.5499,0.31082,1.00231,0.97325,0.94194,0.93538,0.80393,0.66355,0.52972,1.10701,0.003301,0.003301,0.003301
205,13979.1,0.54732,0.31399,1.00025,0.9732,0.94187,0.93544,0.80422,0.66379,0.52919,1.10725,0.003268,0.003268,0.003268
206,14047.2,0.54941,0.31574,1.00295,0.97324,0.94191,0.93544,0.80352,0.66405,0.52964,1.10756,0.003235,0.003235,0.003235
207,14115.2,0.54579,0.31061,1.00036,0.97323,0.94192,0.93546,0.80363,0.66411,0.52962,1.10776,0.003202,0.003202,0.003202
208,14183.2,0.54839,0.31134,1.00265,0.97343,0.94179,0.93547,0.80325,0.66416,0.52955,1.10788,0.003169,0.003169,0.003169
209,14251.1,0.54325,0.30728,0.99789,0.97343,0.94179,0.93548,0.80397,0.66426,0.52977,1.10804,0.003136,0.003136,0.003136
210,14319.4,0.54881,0.31252,1.00238,0.97341,0.9418,0.93546,0.80404,0.66454,0.52963,1.10837,0.003103,0.003103,0.003103
211,14387.7,0.5423,0.30506,1.00311,0.97337,0.94183,0.93543,0.80435,0.66465,0.52952,1.10849,0.00307,0.00307,0.00307
212,14455.8,0.54611,0.3061,0.99903,0.97346,0.9418,0.93545,0.80572,0.66478,0.52949,1.10867,0.003037,0.003037,0.003037
213,14524.1,0.53883,0.30344,0.99862,0.97346,0.94179,0.93545,0.80654,0.66481,0.52953,1.10883,0.003004,0.003004,0.003004
